"ttext","score","ANGER","DISGUST","FEAR","JOY","SADNESS","SURPRISE","BEST_FIT","polarity","date","source","retweetcount","favoritecount","location","city","country","language"
"vídeos flagram aviões e retroescavadeiras em garimpo ilegal na amazônia com maquinário pesado garimpeiros avançam em terras indígenas invasões aumentam durante pandemia e deixam índios vulneráveis à doença covid t co e bndvwmom","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for iPad","12","12","São Paulo, Brasil",NA,NA,"Portuguese"
"ricardo abramovay autor de livro sobre práticas sustentáveis na amazônia explica por que associar desenvolvimento econômico ao desmatamento é uma falácia e indica novos caminhos para gerar riqueza sem destruir via t co kiunedulsi","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18377","Hootsuite Inc.","8","8","São Paulo, Brasil",NA,NA,"Portuguese"
"e não é só o raí o prayforamazonia não deixa mentir usam a instituição há tempos ","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for Android","2","2","São Paulo",NA,NA,"Portuguese"
"já fez a sua doação corre lá na nossa plataforma e nos ajude a abençoar famílias ribeirinhas do rio purus t co btexrgnvru asasdesocorro aviaçãomissionária logísticaaérea missão missões evangelismo anápolis amazônia t co nyigxbdcoj","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"neutral","18383","mLabs - Gestão de Redes Sociais","2","2","Brasil",NA,NA,"Portuguese"
"nós lamentamos a morte do nosso irmão mincaye indígena guarani do equador sua história está narrada no filme terra selvagem distribuído por muitos anos por asas de socorro no brasil asasdesocorro aviaçãomissionária logísticaaérea missão missões evangelismo amazônia t co sbx jsbezy","-3","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","mLabs - Gestão de Redes Sociais","2","2","Brasil",NA,NA,"Portuguese"
"participe dessa corrente do bem doe uma ou mais cestas básicas t co btexrgnvru marque um amigo para desafiá lo a doar também asasdesocorro aviaçãomissionária logísticaaérea missão missões evangelismo anápolis amazônia t co tou bp lrh","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18381","mLabs - Gestão de Redes Sociais","1","1","Brasil",NA,NA,"Portuguese"
"doe cestas básicas para famílias ribeirinhas link t co btexrgnvru asasdesocorro aviaçãomissionária logísticaaérea missão missões evangelismo anápolis amazônia debaixodesuasasas corona coronavírus covid relógiodeoração t co wtxcvmtsir","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18378","mLabs - Gestão de Redes Sociais","3","3","Brasil",NA,NA,"Portuguese"
"quer resolver o problema do desmatamento na amazônia dê condições para o ibama trabalhar deixe o ibama trabalhar pare de interferir e nomear gente incapacitada para os cargos do instituto pare de perseguir dos servidores deixemoibamatrabalhar ibama icmbio amazônia","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"negative","18383","Twitter for Android","1","1","",NA,NA,"Portuguese"
"artigo proceedings da academia brasileira de ciências de livre acesso qual as ligações entre desmatamento e a emergência de doenças infeciosas na amazônia a equipe analisou os vários drivers que mostram… t co rwe lfb z","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Instagram","0","0","Florianópolis, Brasil",NA,NA,"Portuguese"
"apesar de ter alguns anos nessa palestra no ted talks tasso azevedo fala da importância da amazônia pro planeta e indica o caminho para uma economia de baixo carbono tedglobal t co mgmb cenk ods amazônia","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18382","Twitter Web Client","0","0","Belo Horizonte, Brasil",NA,NA,"Portuguese"
"instituto de pesquisa ambiental da amazônia alerta para risco maior de queimadas em ação de grileiros com previsão de um inverno mais seco no bioma tendem a fomentar queimadas piores que a de t co ko m geat amazônia ods ","-3","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter Web Client","0","0","Belo Horizonte, Brasil",NA,NA,"Portuguese"
"o ‘próximo coronavírus’ virá da amazônia com o avanço do desmatamento t co oimm ug zv o bioma abriga muitas espécies animais com patógenos q podem contaminar humanos com as invasões na floresta cresce a caça desses animais para tráfico e o consumo de suas carnes t co hffwlt ak ","-2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18376","Hootsuite Inc.","5","5","São Paulo, Brasil",NA,NA,"Portuguese"
"governo exonera chefes de fiscalização do ibama responsáveis por operações contra garimpos em terrasindígenas na amazônia t co pkkgmdueca eles participaram da megaoperação exibida na tv este mês e agora foram substituídos por homens de confiança de ricardo salles t co idnxstluuo","-1","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","positive","18383","Hootsuite Inc.","2","2","São Paulo, Brasil",NA,NA,"Portuguese"
"negócios que geram impactos positivos na amazônia buscam mentores t co qzbv l gcb o contato com uma rede grande de empreendedores ajudará a ampliar os conhecimentos p reestruturarem e organizarem melhor os negócios contribuindo para o crescimento da economiadafloresta t co grfkgiyv m","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18381","Hootsuite Inc.","3","3","São Paulo, Brasil",NA,NA,"Portuguese"
"o ‘próximo coronavírus’ virá da amazônia com o avanço do desmatamento t co oimm tyqhx o bioma abriga muitas espécies animais com patógenos q podem contaminar humanos com as invasões na floresta cresce a caça desses animais para tráfico e o consumo de suas carnes t co ivw ige lb","-2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18382","Hootsuite Inc.","6","6","São Paulo, Brasil",NA,NA,"Portuguese"
" manaus amazonas amazonia o pulmãodomundo há muito tempo não consegue respirar um vírus que nem vida é chega e lembra o ser humano de que respirar é viver respirar é bom recado amoroso da natureza nessa quarentena covid coronavirus fiqueemcasa","5","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"negative","18383","Twitter Web App","1","1","São Paulo, Brazil",NA,NA,"Portuguese"
"sem uma fiscalização eficaz sobre o avanço ilegal na amazônia além do desmatamento por madereiras e garimpo e a poluição dos rios existe o risco do confronto com indígenas e a morte destes povos amazônia demarcaçãojá terraindígena meioambiente garimpoilegal floresta","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for Android","0","0","São Paulo, Brasil",NA,NA,"Portuguese"
"quando o governo federal exonera os chefes do ibama após operações contra garimpos ilegais deixa claro a sua postura de ir contra a defesa da floresta e seus povos amazonia demarcaçãojá terraindígena meioambiente garimpoilegal floresta sosamazonia todosporforabolsonaro","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for Android","0","0","São Paulo, Brasil",NA,NA,"Portuguese"
"ao exonerar os chefes da fiscalização o governo reforça a sua postura de ir contra a defesa da amazônia governo exonera chefes de fiscalização do ibama após operações contra garimpeiros t co hksjc lynl","-2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for Android","0","0","São Paulo, Brasil",NA,NA,"Portuguese"
"governo demite diretor do ibama olivaldi borges azevedo que agiu contra o garimpoilegal t co azkmpqskhb via hora do povo ambiente amazônia agronegócio desmatamento dinheiro economia garimpo indigenas latifundiários mineracao terras ","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter Web App","0","0","Belem PA Brazil South America",NA,NA,"Portuguese"
" in flight amazonia rondoniabrasil brazil passarosdaamazonia braziliannature fotografiaambiental naturezabrasil amazonianbirds meioambiente ecoclics passarovoando… t co ntuagww k ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"negative","18383","Instagram","0","0","Rio de Janeiro (RJ), Brasil",NA,NA,"Portuguese"
" ja sei ele tava representando animais pra salvar a florestaamazonica e o josh faz tudo","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"negative","18383","Twitter for Android","0","0","ele/dele",NA,NA,"Portuguese"
"parabenizamos a todos os trabalhadores que neste momento se unem em distanciamento social e fazem a diferença por todos muito obrigado por serem heróis por natureza feliz dia do trabalhador eusouideisânico amazônia sustentabilidade terceirosetor diadotrabalhador t co b yqpfd y","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for Android","2","2","Manaus",NA,NA,"Portuguese"
"quem vai parar o rei que beneficia os destruidores da amazônia t co zarhaf bib","0","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","positive","18383","Twitter Web App","0","0","Belém, Pará, Brasil",NA,NA,"Portuguese"
" não podem dar mole pra bandidos que saqueiam a amazônia grilagem t co cfxvdfkrgv","-3","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","2.78695866252273","sadness","positive","18380","Twitter Web App","3","3","Belém, Pará, Brasil",NA,NA,"Portuguese"
"brasil será rejeitado do clube dos bacanas se continuar facilitando corrupção e a destruição da amazônia oecd t co njekjjaxvx t co xbsmb gjqc","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18382","Twitter Web App","0","0","Belém, Pará, Brasil",NA,NA,"Portuguese"
"o dia em que o presidente confessou crime e pouca gente ligou bolsonaro diz que potencializou queimadas por nova política para amazônia t co cmgvg xgr ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"neutral","18378","Twitter Web App","32","32","Belém, Pará, Brasil",NA,NA,"Portuguese"
"tem material gratuito caderno em pdf para professores e escolas usarem o jogo sobrevivência com seus alunos informações sobre amazônia sugestão de temas e atividades entrem nessa aventura vídeo jogosobrevivencia amazonia educacao t co zrdezsqjdp","1","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","positive","18383","Twitter for iPhone","0","0","Rio de Janeiro, Brasil",NA,NA,"Portuguese"
"saiu o caderno para uso do jogo sobrevivência em sala de aula tem muitas informações sobre amazônia história dos jogos teste de sobrevivência indicação de vídeos e livros e sugestões de atividades para uso do jogo t co xu bjazocs jogosobrevivencia amazonia t co oe xsbida ","0","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","positive","18380","Twitter Web App","0","0","Rio de Janeiro, Brasil",NA,NA,"Portuguese"
"professores e o uso de jogos conheça o caderno para profesores do jogo sobrevivência informações sobre amazônia história dos jogos teste de sobrevivência indicação de vídeos e livros e datividades para uso do jogo t co xu bjazocs jogosobrevivencia amazonia t co su eag r ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18381","Twitter Web App","0","0","Rio de Janeiro, Brasil",NA,NA,"Portuguese"
"com muita alegria que a tribo munduruku realiza hoje a sua live solidária às h m horário de brasília na página oficial da tribo munduruku no facebook juruti festribal amazônia t co dcuqoqihjy","1","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","positive","18383","Twitter for Android","0","0","Juruti - PA",NA,NA,"Portuguese"
"pela força coragem e dedicação desejo dias especiais para você trabalhador manaus amazonas artagnanportela amazonia diadotrabalho trabalho trabalhador diadotrabalhador homenagem t co ddroiria g","4","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Etus Brasil","0","0","",NA,NA,"Portuguese"
"salles exonera chefes de fiscalização do ibama e põe ex comandante da pm no cargo coordenadores foram retirados dias após realizarem operação contra o garimpo ilegal na amazônia meioambiente amazônia t co ksuyy nbtp","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter Web App","0","0","Recife, Brazil",NA,NA,"Portuguese"
"conhecer amar e servir t co bldofyl r amazônia campanha","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Revive Social App","0","0","Brasil",NA,NA,"Portuguese"
"a começa em maio uma parceria de colaboração com a courrier internacional publica se extenso artigo de sobre o mundo que se segue em termos ambientais foco na essencial amazonia obrigado pela aos direitoshumanos t co yoezsbbi s","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for iPhone","3","3","  <U+0001F30D>",NA,NA,"Portuguese"
"no diadotrabalho queremos homenagear os que fazem o brasil e a amazônia se desenvolverem e simbolizando todos os trabalhadores rendemos nosso reconhecimento especial aos profissionais da área da saúde pela luta incansável que vêm empreendendo para salvar vidas no país t co e lyx rhok","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","mLabs - Gestão de Redes Sociais","0","0","",NA,NA,"Portuguese"
" e daí t co mbuxfya zr","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","LaterMedia","1","1","São Paulo",NA,NA,"Portuguese"
"aqui não tem idade o amor pelo garrote vem de criança alvoradaemcasa tvacritica garantido alvorada somosopovodafloresta parintins amazonia amazonas t co rsqifahyn","1","7.34083555412328","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","anger","positive","18383","Twitter for Android","0","0","Parintins-am",NA,NA,"Portuguese"
"sob bolsonaro o grupo especializado de fiscalização passou o primeiro semestre de sem operar na amazônia enquanto isso suspeitos de crime recebidos no planalto t co el fr kbju ibama amazonia desmatamento t co srcdycafu ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"negative","18379","Twitter Web App","9","9","São Paulo",NA,NA,"Portuguese"
"amazônia ganha destaque inédito na ciência internacional recém criado o painel científico para a amazonia compila todo o conhecimento já produzido sobre a maior floresta tropical do mundo e busca dar respostas para evitar avanço da destruição t co grdelpq fm t co etoucuch ","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","2.78695866252273","sadness","positive","18381","Twitter Web App","2","2","São Paulo",NA,NA,"Portuguese"
"pandemia vai permitir aceleração do desmatamento na amazônia prevê consultoria perspectivas para amazônia não eram boas antes da pandemia e agora são ainda piores t co auwijzsym amazonia desmatamento naomp grilagemnao t co c kzw ouyz","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18378","Twitter Web App","4","4","São Paulo",NA,NA,"Portuguese"
"‘existe um limite que foi ultrapassado’ diz procuradora sobre omissão de bolsonaro na amazonia procuradores querem responsabilizar governo federal por danos ao meio ambiente e com indígenas t co zdgsnhpsyb desmatamento mp nao t co t dn msyyn","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"neutral","18383","Twitter Web App","0","0","São Paulo",NA,NA,"Portuguese"
" em os recursos para o ministério do meio ambiente não ultrapassaram do orçamento geral da união demonstrando a falta de prioridade política do governo com o meioambiente amazonia saiba mais ni relatório o brasil com baixa imunidade t co qywy rqlt t co hwdwju xzb","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","TweetDeck","2","2","Brasília, Distrito Federal",NA,NA,"Portuguese"
"aproveitando o momento p praticar o mal ainda mais amazonia direitosdamaeterra pelavidanaamazonia t co l xl prqnu","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for Android","0","0","Brasília, Brasil",NA,NA,"Portuguese"
